0,1,2,3,4
GRU,VotingRegressor,64,250,0
GRU,VotingRegressor,64,300,0
GRU,Linear,256,50,3577840.9199999995
GRU,Linear,256,100,3262830.2199999997
GRU,Linear,256,150,4489052.62
GRU,Linear,256,200,3913582.65
GRU,Linear,256,250,3449036.28
GRU,Linear,256,300,0
GRU,Linear,128,50,3257663.6800000006
GRU,Linear,128,100,3243770.9399999995
GRU,Linear,128,150,3714480.26
GRU,Linear,128,200,3126511.6
GRU,Linear,128,250,11241559.51
GRU,Linear,128,300,0
GRU,Linear,64,50,0
GRU,Linear,64,100,0
GRU,Linear,64,150,3429789.26
GRU,Linear,64,200,3209945.1
GRU,Linear,64,250,3574269.3699999996
GRU,Linear,64,300,0
GRU,RandomForestRegressor,256,50,3274280.2199999997
GRU,RandomForestRegressor,256,100,3282653.33
GRU,RandomForestRegressor,256,150,7663760.399999999
GRU,RandomForestRegressor,256,200,5068982.78
GRU,RandomForestRegressor,256,250,4170013.86
GRU,RandomForestRegressor,256,300,0
GRU,RandomForestRegressor,128,50,3543406.3
GRU,RandomForestRegressor,128,100,3554315.0100000007
GRU,RandomForestRegressor,128,150,3409361.74
GRU,RandomForestRegressor,128,200,3683246.29
GRU,RandomForestRegressor,128,250,3359567.74
GRU,RandomForestRegressor,128,300,0
GRU,RandomForestRegressor,64,50,0
GRU,RandomForestRegressor,64,100,0
GRU,RandomForestRegressor,64,150,0
GRU,RandomForestRegressor,64,200,0
GRU,RandomForestRegressor,64,250,0
GRU,RandomForestRegressor,64,300,0
GRU,GradientBoostingRegressor,256,50,3156802.8600000003
GRU,GradientBoostingRegressor,256,100,3183731.8
GRU,GradientBoostingRegressor,256,150,3237428.58
GRU,GradientBoostingRegressor,256,200,6376675.4399999995
GRU,GradientBoostingRegressor,256,250,3264223.37
GRU,GradientBoostingRegressor,256,300,0
GRU,GradientBoostingRegressor,128,50,3172263.59
GRU,GradientBoostingRegressor,128,100,3312874.87
GRU,GradientBoostingRegressor,128,150,4822762.350000001
GRU,GradientBoostingRegressor,128,200,3830019.7199999997
GRU,GradientBoostingRegressor,128,250,5192294.460000001
GRU,GradientBoostingRegressor,128,300,0
GRU,GradientBoostingRegressor,64,50,0
GRU,GradientBoostingRegressor,64,100,0
GRU,GradientBoostingRegressor,64,150,0
GRU,GradientBoostingRegressor,64,200,0
GRU,GradientBoostingRegressor,64,250,0
GRU,GradientBoostingRegressor,64,300,0
GRU,SupportVectorRegressor,256,50,3237768.2399999998
GRU,SupportVectorRegressor,256,100,11613249.41
GRU,SupportVectorRegressor,256,150,3578799.13
GRU,SupportVectorRegressor,256,200,3239400.9899999998
GRU,SupportVectorRegressor,256,250,3439513.16
GRU,SupportVectorRegressor,256,300,0
GRU,SupportVectorRegressor,128,50,3530906.69
GRU,SupportVectorRegressor,128,100,4387382.84
GRU,SupportVectorRegressor,128,150,4006016.17
GRU,SupportVectorRegressor,128,200,4698085.35
GRU,SupportVectorRegressor,128,250,3824289.84
GRU,SupportVectorRegressor,128,300,0
GRU,SupportVectorRegressor,64,50,0
GRU,SupportVectorRegressor,64,100,0
GRU,SupportVectorRegressor,64,150,0
GRU,SupportVectorRegressor,64,200,0
GRU,SupportVectorRegressor,64,250,0
GRU,SupportVectorRegressor,64,300,0
GRU,XGBoost,256,50,3462257.24
GRU,XGBoost,256,100,3235303.99
GRU,XGBoost,256,150,3731816.72
GRU,XGBoost,256,200,3371990.99
GRU,XGBoost,256,250,4149169.61
GRU,XGBoost,256,300,0
GRU,XGBoost,128,50,3298255.4099999997
GRU,XGBoost,128,100,3419277.21
GRU,XGBoost,128,150,6258159.3100000005
GRU,XGBoost,128,200,3483787.6399999997
GRU,XGBoost,128,250,3504791.88
GRU,XGBoost,128,300,0
GRU,XGBoost,64,50,0
GRU,XGBoost,64,100,0
GRU,XGBoost,64,150,0
GRU,XGBoost,64,200,0
GRU,XGBoost,64,250,0
GRU,XGBoost,64,300,0
GRU,CatBoost,256,50,3217828.58
GRU,CatBoost,256,100,3954981.8
GRU,CatBoost,256,150,3296341.29
GRU,CatBoost,256,200,3419439.85
GRU,CatBoost,256,250,3556013.7800000003
GRU,CatBoost,256,300,0
GRU,CatBoost,128,50,3390502.16
GRU,CatBoost,128,100,3266134.05
GRU,CatBoost,128,150,3640894.4
GRU,CatBoost,128,200,10117856.78
GRU,CatBoost,128,250,9731007.12
GRU,CatBoost,128,300,0
GRU,CatBoost,64,50,0
GRU,CatBoost,64,100,0
GRU,CatBoost,64,150,0
GRU,CatBoost,64,200,0
GRU,CatBoost,64,250,0
GRU,CatBoost,64,300,0
GRU,LightGBM,256,50,3192569.49
